All_num_layers,Classifier_hidden,Classifier_num_layers,GPR,HCHA_symdegnorm,HNHN_alpha,HNHN_beta,HNHN_nonlinear_inbetween,HyperGCN_fast,HyperGCN_mediators,LearnMask,MLP_hidden,MLP_num_layers,PMA,T,UniGNN_degE,UniGNN_degV,UniGNN_use_norm,acc_drop%,add_self_loop,adv_test,adv_train,adv_val,aggregate,alpha,attack,beta,clean_test,clean_train,clean_val,cuda,dataset,deepset_input_norm,deg_shift_l1,deg_shift_l2,deg_shift_linf,display_step,dname,dropout,edge_card_shift_l1,edge_card_shift_l2,edge_card_shift_linf,embedding_shift,epochs,epsilon,eta_H,eta_X,exclude_self,exec_time,feature_noise,gamma,h_l0,heads,laplacian_norm,lr,method,model,normalization,normtype,num_classes,num_edges,num_edges_perturbed,num_epochs_sur,num_features,num_to_perturb,num_vertices,output_heads,patience,perturb_prop,perturb_type,ptb_rate,runs,seed,semantic_change,train_prop,valid_prop,wd,x_linf
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,6.602870813397131,True,0.7208271787296898,0.9497784342688331,0.7001477104874446,mean,0.01,mla,2.0,0.7717872968980798,0.9763663220088626,0.7680945347119646,1,co-cora,True,890.0,260.12689208984375,258.0,-1,cora,0.5,886.0,45.869380950927734,8.0,163.3610076904297,1000,0.0,0.01,0.01,False,86.90820121765137,0.0,2.0,896,1,7.226773738861084,0.001,HGNN,HGNN,ln,all_one,7,7494,896.0,50,1433,1498,2708,1,150,0.0,replace,0.2,1,12,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,8.229665071770336,True,0.7082717872968981,0.9615952732644019,0.7163958641063516,mean,0.01,mla,1.0,0.7717872968980798,0.9763663220088626,0.7680945347119646,1,co-cora,True,1192.0,360.9127197265625,359.0,-1,cora,0.5,1196.0,44.988887786865234,5.0,164.4849853515625,1000,0.0,0.01,0.01,False,86.25618314743042,0.0,2.0,1198,1,7.306402206420898,0.001,HGNN,HGNN,ln,all_one,7,7494,1198.0,50,1433,1498,2708,1,150,0.0,replace,0.2,1,12,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,1.6267942583732042,True,0.7592319054652881,0.9748892171344166,0.7607090103397341,mean,0.01,mla,4.0,0.7717872968980798,0.9763663220088626,0.7680945347119646,1,co-cora,True,854.0,680.13232421875,680.0,-1,cora,0.5,748.0,29.291637420654297,6.0,81.6495361328125,1000,0.0,0.01,0.01,False,83.49765276908875,0.0,2.0,868,1,4.096795558929443,0.001,HGNN,HGNN,ln,all_one,7,7494,868.0,50,1433,1498,2708,1,150,0.0,replace,0.2,1,12,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,1.2440191387559816,True,0.7621861152141802,0.9704579025110783,0.7592319054652881,mean,0.01,mla,10.0,0.7717872968980798,0.9763663220088626,0.7680945347119646,1,co-cora,True,894.0,814.0503540039062,814.0,-1,cora,0.5,826.0,28.809720993041992,2.0,76.5002670288086,1000,0.0,0.01,0.01,False,82.94924473762512,0.0,2.0,900,1,3.2967958450317383,0.001,HGNN,HGNN,ln,all_one,7,7494,900.0,50,1433,1498,2708,1,150,0.0,replace,0.2,1,12,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,6.286266924564786,True,0.7156573116691286,0.9660265878877401,0.7562776957163959,mean,0.0,mla,0.01,0.7636632200886263,0.9763663220088626,0.8050221565731167,1,co-cora,True,818.0,111.10355377197266,106.0,-1,cora,0.5,820.0,35.2136344909668,5.0,142.1156005859375,1000,0.0,0.01,0.01,False,86.61335015296936,0.0,2.0,820,1,6.122879505157471,0.001,HGNN,HGNN,ln,all_one,7,7494,820.0,50,1433,1498,2708,1,150,0.0,replace,0.2,1,11,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,6.382978723404251,True,0.7149187592319055,0.9704579025110783,0.7562776957163959,mean,0.0,mla,0.1,0.7636632200886263,0.9763663220088626,0.8050221565731167,1,co-cora,True,735.0,43.32435989379883,28.0,-1,cora,0.5,743.0,32.93933868408203,5.0,139.05645751953125,1000,0.0,0.01,0.01,False,86.48971033096313,0.0,2.0,743,1,6.08143424987793,0.001,HGNN,HGNN,ln,all_one,7,7494,743.0,50,1433,1498,2708,1,150,0.0,replace,0.2,1,11,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,8.897485493230171,True,0.6957163958641064,0.9601181683899558,0.7223042836041359,mean,0.0,mla,2.0,0.7636632200886263,0.9763663220088626,0.8050221565731167,1,co-cora,True,919.0,252.35887145996094,250.0,-1,cora,0.5,927.0,45.902069091796875,9.0,175.6572723388672,1000,0.0,0.01,0.01,False,86.66077756881714,0.0,2.0,935,1,7.330321788787842,0.001,HGNN,HGNN,ln,all_one,7,7494,935.0,50,1433,1498,2708,1,150,0.0,replace,0.2,1,11,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,8.123791102514508,True,0.7016248153618907,0.9660265878877401,0.7444608567208272,mean,0.0,mla,1.0,0.7636632200886263,0.9763663220088626,0.8050221565731167,1,co-cora,True,1037.0,262.20794677734375,260.0,-1,cora,0.5,1035.0,41.62931823730469,5.0,171.71066284179688,1000,0.0,0.01,0.01,False,86.53946852684021,0.0,2.0,1043,1,7.030646324157715,0.001,HGNN,HGNN,ln,all_one,7,7494,1043.0,50,1433,1498,2708,1,150,0.0,replace,0.2,1,11,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,0.5802707930367474,True,0.7592319054652881,0.9793205317577549,0.7902511078286559,mean,0.0,mla,10.0,0.7636632200886263,0.9763663220088626,0.8050221565731167,1,co-cora,True,890.0,831.0355224609375,831.0,-1,cora,0.5,844.0,29.086078643798828,2.0,88.56784057617188,1000,0.0,0.01,0.01,False,85.40929222106934,0.0,2.0,890,1,3.4551360607147217,0.001,HGNN,HGNN,ln,all_one,7,7494,890.0,50,1433,1498,2708,1,150,0.0,replace,0.2,1,11,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,1.8375241779497076,True,0.7496307237813885,0.9748892171344166,0.7946824224519942,mean,0.0,mla,4.0,0.7636632200886263,0.9763663220088626,0.8050221565731167,1,co-cora,True,801.0,640.1398315429688,640.0,-1,cora,0.5,761.0,40.01249694824219,24.0,102.34675598144531,1000,0.0,0.01,0.01,False,83.97525906562805,0.0,2.0,841,1,4.671646595001221,0.001,HGNN,HGNN,ln,all_one,7,7494,841.0,50,1433,1498,2708,1,150,0.0,replace,0.2,1,11,0.0,0.25,0.25,0.0,0.0
