All_num_layers,Classifier_hidden,Classifier_num_layers,GPR,HCHA_symdegnorm,HNHN_alpha,HNHN_beta,HNHN_nonlinear_inbetween,HyperGCN_fast,HyperGCN_mediators,LearnMask,MLP_hidden,MLP_num_layers,PMA,T,UniGNN_degE,UniGNN_degV,UniGNN_use_norm,acc_drop%,add_self_loop,adv_test,adv_train,adv_val,aggregate,alpha,attack,beta,clean_test,clean_train,clean_val,cuda,dataset,deepset_input_norm,deg_shift_l1,deg_shift_l2,deg_shift_linf,display_step,dname,dropout,edge_card_shift_l1,edge_card_shift_l2,edge_card_shift_linf,embedding_shift,epochs,epsilon,eta_H,eta_X,exclude_self,exec_time,feature_noise,gamma,h_l0,heads,laplacian_norm,lr,method,model,normalization,normtype,num_classes,num_edges,num_edges_perturbed,num_epochs_sur,num_features,num_vertices,output_heads,patience,perturb_prop,perturb_type,ptb_rate,runs,seed,semantic_change,train_prop,valid_prop,wd,x_linf
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,3.9499036608863065,True,0.7363367799113738,0.9719350073855244,0.7459379615952734,mean,0.0,mla,0.0,0.7666174298375185,0.9778434268833088,0.7828655834564254,1,co-cora,True,580.737060546875,234.12081909179688,233.58396911621094,-1,cora,0.5,581.7037353515625,21.52843475341797,2.2386059761047363,97.42676544189453,1000,0.0,0.01,0.01,False,37.51849317550659,0.0,2.0,1205,1,4.491410255432129,0.001,HGNN,HGNN,ln,all_one,7,7494,1498,50,1433,2708,1,150,0.0,replace,0.2,1,13,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,1.0597302504816828,True,0.7584933530280651,0.9763663220088626,0.7799113737075333,mean,1.0,mla,0.0,0.7666174298375185,0.9778434268833088,0.7828655834564254,0,co-cora,True,520.2952270507812,400.427978515625,400.33392333984375,-1,cora,0.5,519.3152465820312,18.089946746826172,2.0003538131713867,54.828407287597656,1000,0.0,0.01,0.01,False,37.51211071014404,0.0,2.0,1074,1,3.350743293762207,0.001,HGNN,HGNN,ln,all_one,7,7494,1498,50,1433,2708,1,150,0.0,replace,0.2,1,13,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,1.1639185257032092,True,0.7525849335302807,0.9748892171344166,0.7799113737075333,mean,1.0,mla,1.0,0.7614475627769572,0.9748892171344166,0.7828655834564254,0,co-cora,True,198.11260986328125,102.7694091796875,102.47996520996094,-1,cora,0.5,197.1060028076172,10.430882453918457,1.4867029190063477,50.07456970214844,1000,0.0,0.01,0.01,False,37.829936027526855,0.0,2.0,477,1,2.7207841873168945,0.001,HGNN,HGNN,ln,all_one,7,7494,1498,50,1433,2708,1,150,0.0,replace,0.2,1,14,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,5.237633365664405,True,0.7215657311669129,0.9734121122599705,0.740029542097489,mean,0.0,mla,1.0,0.7614475627769572,0.9748892171344166,0.7828655834564254,1,co-cora,True,301.72650146484375,13.170202255249023,2.2899999618530273,-1,cora,0.5,301.893310546875,14.080620765686035,1.7541954517364502,75.47460174560547,1000,0.0,0.01,0.01,False,38.00301480293274,0.0,2.0,1011,1,4.547247409820557,0.001,HGNN,HGNN,ln,all_one,7,7494,1498,50,1433,2708,1,150,0.0,replace,0.2,1,14,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,4.752667313288066,True,0.7252584933530282,0.9734121122599705,0.7503692762186116,mean,0.0,mla,0.0,0.7614475627769572,0.9748892171344166,0.7828655834564254,1,co-cora,True,529.06884765625,198.38624572753906,197.72991943359375,-1,cora,0.5,529.0294799804688,20.14788818359375,2.004091262817383,92.76177215576172,1000,0.0,0.01,0.01,False,37.46924138069153,0.0,2.0,1105,1,4.380478858947754,0.001,HGNN,HGNN,ln,all_one,7,7494,1498,50,1433,2708,1,150,0.0,replace,0.2,1,14,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,1.648884578079533,True,0.7488921713441655,0.9748892171344166,0.775480059084195,mean,1.0,mla,0.0,0.7614475627769572,0.9748892171344166,0.7828655834564254,0,co-cora,True,475.8606872558594,350.5440979003906,350.42987060546875,-1,cora,0.5,474.8806457519531,17.253849029541016,2.0009970664978027,58.27263641357422,1000,0.0,0.01,0.01,False,37.46928548812866,0.0,2.0,984,1,3.2704007625579834,0.001,HGNN,HGNN,ln,all_one,7,7494,1498,50,1433,2708,1,150,0.0,replace,0.2,1,14,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,1.125703564727949,True,0.7784342688330872,0.964549483013294,0.7725258493353029,mean,1.0,mla,1.0,0.7872968980797637,0.9719350073855244,0.775480059084195,0,co-cora,True,219.43463134765625,116.61043548583984,116.31996154785156,-1,cora,0.5,219.4346466064453,11.079460144042969,2.000758647918701,53.28372573852539,1000,0.0,0.01,0.01,False,37.63630771636963,0.0,2.0,540,1,2.7484283447265625,0.001,HGNN,HGNN,ln,all_one,7,7494,1498,50,1433,2708,1,150,0.0,replace,0.2,1,15,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,4.033771106941838,True,0.7555391432791728,0.9704579025110783,0.7488921713441655,mean,0.0,mla,1.0,0.7872968980797637,0.9719350073855244,0.775480059084195,1,co-cora,True,327.3813171386719,13.78085994720459,2.6100001335144043,-1,cora,0.5,327.3813171386719,14.916645050048828,1.4905133247375488,71.7096176147461,1000,0.0,0.01,0.01,False,37.63365960121155,0.0,2.0,1091,1,4.6854729652404785,0.001,HGNN,HGNN,ln,all_one,7,7494,1498,50,1433,2708,1,150,0.0,replace,0.2,1,15,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,1.7823639774859266,True,0.7732644017725259,0.964549483013294,0.7695716395864107,mean,1.0,mla,0.0,0.7872968980797637,0.9719350073855244,0.775480059084195,0,co-cora,True,515.25439453125,374.14593505859375,374.01983642578125,-1,cora,0.5,515.25439453125,18.63740348815918,2.000758647918701,60.38506317138672,1000,0.0,0.01,0.01,False,38.01400923728943,0.0,2.0,1090,1,3.23051118850708,0.001,HGNN,HGNN,ln,all_one,7,7494,1498,50,1433,2708,1,150,0.0,replace,0.2,1,15,0.0,0.25,0.25,0.0,0.0
1,256,1,False,False,-1.5,-0.5,True,True,True,False,512,2,True,50,0,0,False,5.534709193245771,True,0.7437223042836042,0.9675036927621862,0.7341211225997046,mean,0.0,mla,0.0,0.7872968980797637,0.9719350073855244,0.775480059084195,1,co-cora,True,569.700439453125,218.97412109375,218.39993286132812,-1,cora,0.5,569.700439453125,21.26034164428711,1.9808125495910645,89.20013427734375,1000,0.0,0.01,0.01,False,38.009517431259155,0.0,2.0,1182,1,4.495532989501953,0.001,HGNN,HGNN,ln,all_one,7,7494,1498,50,1433,2708,1,150,0.0,replace,0.2,1,15,0.0,0.25,0.25,0.0,0.0
